V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
1001000173.G10	GBM cell 51	Brain	Homo sapiens	1001000173	G10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.B9	GBM cell 52	Brain	Homo sapiens	1001000173	B9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.F8	GBM cell 53	Brain	Homo sapiens	1001000173	F8	Tumor	BT_S2	8	Immune cell	Regular
1001000173.C7	GBM cell 54	Brain	Homo sapiens	1001000173	C7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.B2	GBM cell 55	Brain	Homo sapiens	1001000173	B2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.H4	GBM cell 56	Brain	Homo sapiens	1001000173	H4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.D1	GBM cell 57	Brain	Homo sapiens	1001000173	D1	Tumor	BT_S2	8	Immune cell	Regular
1001000174.G5	GBM cell 58	Brain	Homo sapiens	1001000174	G5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.H9	GBM cell 59	Brain	Homo sapiens	1001000174	H9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.H2	GBM cell 60	Brain	Homo sapiens	1001000174	H2	Tumor	BT_S2	7	Immune cell	Regular
1001000174.E12	GBM cell 61	Brain	Homo sapiens	1001000174	E12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.A10	GBM cell 62	Brain	Homo sapiens	1001000174	A10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.G10	GBM cell 63	Brain	Homo sapiens	1001000174	G10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.C8	GBM cell 64	Brain	Homo sapiens	1001000174	C8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.F6	GBM cell 65	Brain	Homo sapiens	1001000174	F6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.B4	GBM cell 66	Brain	Homo sapiens	1001000174	B4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.H7	GBM cell 67	Brain	Homo sapiens	1001000174	H7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.E10	GBM cell 68	Brain	Homo sapiens	1001000174	E10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.D5	GBM cell 69	Brain	Homo sapiens	1001000174	D5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.E5	GBM cell 70	Brain	Homo sapiens	1001000174	E5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.B11	GBM cell 71	Brain	Homo sapiens	1001000174	B11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.F10	GBM cell 72	Brain	Homo sapiens	1001000174	F10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.A5	GBM cell 73	Brain	Homo sapiens	1001000174	A5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.B8	GBM cell 74	Brain	Homo sapiens	1001000174	B8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.F2	GBM cell 75	Brain	Homo sapiens	1001000174	F2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.F9	GBM cell 76	Brain	Homo sapiens	1001000174	F9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.F4	GBM cell 77	Brain	Homo sapiens	1001000174	F4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.C10	GBM cell 78	Brain	Homo sapiens	1001000174	C10	Tumor	BT_S2	8	Immune cell	Regular
1001000174.B6	GBM cell 79	Brain	Homo sapiens	1001000174	B6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.E2	GBM cell 80	Brain	Homo sapiens	1001000174	E2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.G2	GBM cell 81	Brain	Homo sapiens	1001000174	G2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.D8	GBM cell 82	Brain	Homo sapiens	1001000174	D8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.H6	GBM cell 83	Brain	Homo sapiens	1001000174	H6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.C3	GBM cell 84	Brain	Homo sapiens	1001000174	C3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.B7	GBM cell 85	Brain	Homo sapiens	1001000174	B7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.A7	GBM cell 86	Brain	Homo sapiens	1001000174	A7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.H10	GBM cell 87	Brain	Homo sapiens	1001000174	H10	Tumor	BT_S2	11	Neoplastic	Neoplastic
