V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
1001000181.E11	GBM cell 665	Brain	Homo sapiens	1001000181	E11	Periphery	BT_S2	9	OPC	Regular
1001000181.C8	GBM cell 666	Brain	Homo sapiens	1001000181	C8	Periphery	BT_S2	9	OPC	Regular
1001000181.F10	GBM cell 667	Brain	Homo sapiens	1001000181	F10	Periphery	BT_S2	11	Neoplastic	Neoplastic
1001000181.B7	GBM cell 668	Brain	Homo sapiens	1001000181	B7	Periphery	BT_S2	9	OPC	Regular
1001000181.G7	GBM cell 669	Brain	Homo sapiens	1001000181	G7	Periphery	BT_S2	7	Immune cell	Regular
1001000181.F3	GBM cell 670	Brain	Homo sapiens	1001000181	F3	Periphery	BT_S2	9	OPC	Regular
1001000181.F4	GBM cell 671	Brain	Homo sapiens	1001000181	F4	Periphery	BT_S2	9	OPC	Regular
1001000181.E5	GBM cell 672	Brain	Homo sapiens	1001000181	E5	Periphery	BT_S2	9	OPC	Regular
1001000181.E10	GBM cell 673	Brain	Homo sapiens	1001000181	E10	Periphery	BT_S2	7	Immune cell	Regular
1001000181.C11	GBM cell 674	Brain	Homo sapiens	1001000181	C11	Periphery	BT_S2	11	Neoplastic	Neoplastic
1001000181.C6	GBM cell 675	Brain	Homo sapiens	1001000181	C6	Periphery	BT_S2	11	Neoplastic	Neoplastic
1001000181.A4	GBM cell 676	Brain	Homo sapiens	1001000181	A4	Periphery	BT_S2	9	OPC	Regular
1001000181.D7	GBM cell 677	Brain	Homo sapiens	1001000181	D7	Periphery	BT_S2	9	OPC	Regular
1001000181.B2	GBM cell 678	Brain	Homo sapiens	1001000181	B2	Periphery	BT_S2	9	OPC	Regular
1001000181.B9	GBM cell 679	Brain	Homo sapiens	1001000181	B9	Periphery	BT_S2	9	OPC	Regular
1001000181.C4	GBM cell 680	Brain	Homo sapiens	1001000181	C4	Periphery	BT_S2	10	Astocyte	Regular
1001000181.F6	GBM cell 681	Brain	Homo sapiens	1001000181	F6	Periphery	BT_S2	10	Astocyte	Regular
1001000181.A11	GBM cell 682	Brain	Homo sapiens	1001000181	A11	Periphery	BT_S2	7	Immune cell	Regular
1001000181.E12	GBM cell 683	Brain	Homo sapiens	1001000181	E12	Periphery	BT_S2	11	Neoplastic	Neoplastic
1001000181.A6	GBM cell 684	Brain	Homo sapiens	1001000181	A6	Periphery	BT_S2	9	OPC	Regular
1001000181.G6	GBM cell 685	Brain	Homo sapiens	1001000181	G6	Periphery	BT_S2	11	Neoplastic	Neoplastic
1001000181.B4	GBM cell 686	Brain	Homo sapiens	1001000181	B4	Periphery	BT_S2	11	Neoplastic	Neoplastic
1001000181.D4	GBM cell 687	Brain	Homo sapiens	1001000181	D4	Periphery	BT_S2	7	Immune cell	Regular
1001000181.B12	GBM cell 688	Brain	Homo sapiens	1001000181	B12	Periphery	BT_S2	9	OPC	Regular
1001000181.G8	GBM cell 689	Brain	Homo sapiens	1001000181	G8	Periphery	BT_S2	11	Neoplastic	Neoplastic
1001000181.F11	GBM cell 690	Brain	Homo sapiens	1001000181	F11	Periphery	BT_S2	9	OPC	Regular
1001000181.B6	GBM cell 691	Brain	Homo sapiens	1001000181	B6	Periphery	BT_S2	9	OPC	Regular
1001000181.D3	GBM cell 692	Brain	Homo sapiens	1001000181	D3	Periphery	BT_S2	9	OPC	Regular
1001000181.A7	GBM cell 693	Brain	Homo sapiens	1001000181	A7	Periphery	BT_S2	9	OPC	Regular
1001000181.F2	GBM cell 694	Brain	Homo sapiens	1001000181	F2	Periphery	BT_S2	11	Neoplastic	Neoplastic
1001000181.F9	GBM cell 695	Brain	Homo sapiens	1001000181	F9	Periphery	BT_S2	7	Immune cell	Regular
1001000181.B10	GBM cell 696	Brain	Homo sapiens	1001000181	B10	Periphery	BT_S2	7	Immune cell	Regular
1001000181.C10	GBM cell 697	Brain	Homo sapiens	1001000181	C10	Periphery	BT_S2	9	OPC	Regular
1001000181.D1	GBM cell 698	Brain	Homo sapiens	1001000181	D1	Periphery	BT_S2	10	Astocyte	Regular
1001000181.E4	GBM cell 699	Brain	Homo sapiens	1001000181	E4	Periphery	BT_S2	9	OPC	Regular
1001000181.A9	GBM cell 700	Brain	Homo sapiens	1001000181	A9	Periphery	BT_S2	9	OPC	Regular
1001000181.A2	GBM cell 701	Brain	Homo sapiens	1001000181	A2	Periphery	BT_S2	9	OPC	Regular
1001000181.D11	GBM cell 702	Brain	Homo sapiens	1001000181	D11	Periphery	BT_S2	9	OPC	Regular
1001000181.C7	GBM cell 703	Brain	Homo sapiens	1001000181	C7	Periphery	BT_S2	11	Neoplastic	Neoplastic
1001000181.D9	GBM cell 704	Brain	Homo sapiens	1001000181	D9	Periphery	BT_S2	2	Oligodendrocyte	Regular
1001000182.A3	GBM cell 705	Brain	Homo sapiens	1001000182	A3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.F4	GBM cell 706	Brain	Homo sapiens	1001000182	F4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.A10	GBM cell 707	Brain	Homo sapiens	1001000182	A10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.G4	GBM cell 708	Brain	Homo sapiens	1001000182	G4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.E6	GBM cell 709	Brain	Homo sapiens	1001000182	E6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.C3	GBM cell 710	Brain	Homo sapiens	1001000182	C3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.D1	GBM cell 711	Brain	Homo sapiens	1001000182	D1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.G10	GBM cell 712	Brain	Homo sapiens	1001000182	G10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.C12	GBM cell 713	Brain	Homo sapiens	1001000182	C12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.D10	GBM cell 714	Brain	Homo sapiens	1001000182	D10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.A5	GBM cell 715	Brain	Homo sapiens	1001000182	A5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.E8	GBM cell 716	Brain	Homo sapiens	1001000182	E8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.B4	GBM cell 717	Brain	Homo sapiens	1001000182	B4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.F6	GBM cell 718	Brain	Homo sapiens	1001000182	F6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.B12	GBM cell 719	Brain	Homo sapiens	1001000182	B12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.C10	GBM cell 720	Brain	Homo sapiens	1001000182	C10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.D9	GBM cell 721	Brain	Homo sapiens	1001000182	D9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.A7	GBM cell 722	Brain	Homo sapiens	1001000182	A7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.D11	GBM cell 723	Brain	Homo sapiens	1001000182	D11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.G8	GBM cell 724	Brain	Homo sapiens	1001000182	G8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.D7	GBM cell 725	Brain	Homo sapiens	1001000182	D7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.F12	GBM cell 726	Brain	Homo sapiens	1001000182	F12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.G1	GBM cell 727	Brain	Homo sapiens	1001000182	G1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.H2	GBM cell 728	Brain	Homo sapiens	1001000182	H2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.B10	GBM cell 729	Brain	Homo sapiens	1001000182	B10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.H3	GBM cell 730	Brain	Homo sapiens	1001000182	H3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.E2	GBM cell 731	Brain	Homo sapiens	1001000182	E2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.A9	GBM cell 732	Brain	Homo sapiens	1001000182	A9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.B1	GBM cell 733	Brain	Homo sapiens	1001000182	B1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.B8	GBM cell 734	Brain	Homo sapiens	1001000182	B8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.C8	GBM cell 735	Brain	Homo sapiens	1001000182	C8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.G12	GBM cell 736	Brain	Homo sapiens	1001000182	G12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.F1	GBM cell 737	Brain	Homo sapiens	1001000182	F1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.E4	GBM cell 738	Brain	Homo sapiens	1001000182	E4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.A11	GBM cell 739	Brain	Homo sapiens	1001000182	A11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.E5	GBM cell 740	Brain	Homo sapiens	1001000182	E5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.B3	GBM cell 741	Brain	Homo sapiens	1001000182	B3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.F3	GBM cell 742	Brain	Homo sapiens	1001000182	F3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.B11	GBM cell 743	Brain	Homo sapiens	1001000182	B11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.G5	GBM cell 744	Brain	Homo sapiens	1001000182	G5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.C9	GBM cell 745	Brain	Homo sapiens	1001000182	C9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.D2	GBM cell 746	Brain	Homo sapiens	1001000182	D2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.F2	GBM cell 747	Brain	Homo sapiens	1001000182	F2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.G3	GBM cell 748	Brain	Homo sapiens	1001000182	G3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.A2	GBM cell 749	Brain	Homo sapiens	1001000182	A2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.C4	GBM cell 750	Brain	Homo sapiens	1001000182	C4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.E7	GBM cell 751	Brain	Homo sapiens	1001000182	E7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.F5	GBM cell 752	Brain	Homo sapiens	1001000182	F5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.B5	GBM cell 753	Brain	Homo sapiens	1001000182	B5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.F10	GBM cell 754	Brain	Homo sapiens	1001000182	F10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.C11	GBM cell 755	Brain	Homo sapiens	1001000182	C11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.H9	GBM cell 756	Brain	Homo sapiens	1001000182	H9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.A4	GBM cell 757	Brain	Homo sapiens	1001000182	A4	Tumor	BT_S2	9	OPC	Regular
1001000182.D8	GBM cell 758	Brain	Homo sapiens	1001000182	D8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.G2	GBM cell 759	Brain	Homo sapiens	1001000182	G2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.F11	GBM cell 760	Brain	Homo sapiens	1001000182	F11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.E10	GBM cell 761	Brain	Homo sapiens	1001000182	E10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.D12	GBM cell 762	Brain	Homo sapiens	1001000182	D12	Tumor	BT_S2	2	Oligodendrocyte	Regular
1001000182.H1	GBM cell 763	Brain	Homo sapiens	1001000182	H1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.C5	GBM cell 764	Brain	Homo sapiens	1001000182	C5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.H4	GBM cell 765	Brain	Homo sapiens	1001000182	H4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.E1	GBM cell 766	Brain	Homo sapiens	1001000182	E1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.E9	GBM cell 767	Brain	Homo sapiens	1001000182	E9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.B6	GBM cell 768	Brain	Homo sapiens	1001000182	B6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.A6	GBM cell 769	Brain	Homo sapiens	1001000182	A6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.G11	GBM cell 770	Brain	Homo sapiens	1001000182	G11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.H11	GBM cell 771	Brain	Homo sapiens	1001000182	H11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.C7	GBM cell 772	Brain	Homo sapiens	1001000182	C7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.G7	GBM cell 773	Brain	Homo sapiens	1001000182	G7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.E12	GBM cell 774	Brain	Homo sapiens	1001000182	E12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.D3	GBM cell 775	Brain	Homo sapiens	1001000182	D3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.H6	GBM cell 776	Brain	Homo sapiens	1001000182	H6	Tumor	BT_S2	9	OPC	Regular
1001000182.C1	GBM cell 777	Brain	Homo sapiens	1001000182	C1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.G6	GBM cell 778	Brain	Homo sapiens	1001000182	G6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000182.A8	GBM cell 779	Brain	Homo sapiens	1001000182	A8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.A3	GBM cell 780	Brain	Homo sapiens	1001000183	A3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.C6	GBM cell 781	Brain	Homo sapiens	1001000183	C6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.F4	GBM cell 782	Brain	Homo sapiens	1001000183	F4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.B8	GBM cell 783	Brain	Homo sapiens	1001000183	B8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.A9	GBM cell 784	Brain	Homo sapiens	1001000183	A9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.G10	GBM cell 785	Brain	Homo sapiens	1001000183	G10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.F6	GBM cell 786	Brain	Homo sapiens	1001000183	F6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.D4	GBM cell 787	Brain	Homo sapiens	1001000183	D4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.F11	GBM cell 788	Brain	Homo sapiens	1001000183	F11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.G11	GBM cell 789	Brain	Homo sapiens	1001000183	G11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.G2	GBM cell 790	Brain	Homo sapiens	1001000183	G2	Tumor	BT_S2	9	OPC	Regular
1001000183.E8	GBM cell 791	Brain	Homo sapiens	1001000183	E8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.C11	GBM cell 792	Brain	Homo sapiens	1001000183	C11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.H11	GBM cell 793	Brain	Homo sapiens	1001000183	H11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.A7	GBM cell 794	Brain	Homo sapiens	1001000183	A7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.B12	GBM cell 795	Brain	Homo sapiens	1001000183	B12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.C8	GBM cell 796	Brain	Homo sapiens	1001000183	C8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.B4	GBM cell 797	Brain	Homo sapiens	1001000183	B4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.B9	GBM cell 798	Brain	Homo sapiens	1001000183	B9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.H9	GBM cell 799	Brain	Homo sapiens	1001000183	H9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.H2	GBM cell 800	Brain	Homo sapiens	1001000183	H2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.H4	GBM cell 801	Brain	Homo sapiens	1001000183	H4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.G8	GBM cell 802	Brain	Homo sapiens	1001000183	G8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.D8	GBM cell 803	Brain	Homo sapiens	1001000183	D8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.A5	GBM cell 804	Brain	Homo sapiens	1001000183	A5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.E6	GBM cell 805	Brain	Homo sapiens	1001000183	E6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.G1	GBM cell 806	Brain	Homo sapiens	1001000183	G1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.B6	GBM cell 807	Brain	Homo sapiens	1001000183	B6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.E12	GBM cell 808	Brain	Homo sapiens	1001000183	E12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.E4	GBM cell 809	Brain	Homo sapiens	1001000183	E4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.C2	GBM cell 810	Brain	Homo sapiens	1001000183	C2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.C4	GBM cell 811	Brain	Homo sapiens	1001000183	C4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.D11	GBM cell 812	Brain	Homo sapiens	1001000183	D11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.C9	GBM cell 813	Brain	Homo sapiens	1001000183	C9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.B11	GBM cell 814	Brain	Homo sapiens	1001000183	B11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.D2	GBM cell 815	Brain	Homo sapiens	1001000183	D2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.A12	GBM cell 816	Brain	Homo sapiens	1001000183	A12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.A8	GBM cell 817	Brain	Homo sapiens	1001000183	A8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.A10	GBM cell 818	Brain	Homo sapiens	1001000183	A10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.H10	GBM cell 819	Brain	Homo sapiens	1001000183	H10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.F10	GBM cell 820	Brain	Homo sapiens	1001000183	F10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.F5	GBM cell 821	Brain	Homo sapiens	1001000183	F5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.D3	GBM cell 822	Brain	Homo sapiens	1001000183	D3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.C5	GBM cell 823	Brain	Homo sapiens	1001000183	C5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.E9	GBM cell 824	Brain	Homo sapiens	1001000183	E9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.H7	GBM cell 825	Brain	Homo sapiens	1001000183	H7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.B7	GBM cell 826	Brain	Homo sapiens	1001000183	B7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.D10	GBM cell 827	Brain	Homo sapiens	1001000183	D10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.A1	GBM cell 828	Brain	Homo sapiens	1001000183	A1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.C12	GBM cell 829	Brain	Homo sapiens	1001000183	C12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.F3	GBM cell 830	Brain	Homo sapiens	1001000183	F3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.F12	GBM cell 831	Brain	Homo sapiens	1001000183	F12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.D9	GBM cell 832	Brain	Homo sapiens	1001000183	D9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.D7	GBM cell 833	Brain	Homo sapiens	1001000183	D7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.C7	GBM cell 834	Brain	Homo sapiens	1001000183	C7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.H5	GBM cell 835	Brain	Homo sapiens	1001000183	H5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.E10	GBM cell 836	Brain	Homo sapiens	1001000183	E10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.E7	GBM cell 837	Brain	Homo sapiens	1001000183	E7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.B2	GBM cell 838	Brain	Homo sapiens	1001000183	B2	Tumor	BT_S2	1	Neoplastic	Neoplastic
1001000183.G7	GBM cell 839	Brain	Homo sapiens	1001000183	G7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.F2	GBM cell 840	Brain	Homo sapiens	1001000183	F2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.E11	GBM cell 841	Brain	Homo sapiens	1001000183	E11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.A4	GBM cell 842	Brain	Homo sapiens	1001000183	A4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.C10	GBM cell 843	Brain	Homo sapiens	1001000183	C10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.E5	GBM cell 844	Brain	Homo sapiens	1001000183	E5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.B3	GBM cell 845	Brain	Homo sapiens	1001000183	B3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.H1	GBM cell 846	Brain	Homo sapiens	1001000183	H1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.D1	GBM cell 847	Brain	Homo sapiens	1001000183	D1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.B10	GBM cell 848	Brain	Homo sapiens	1001000183	B10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.F7	GBM cell 849	Brain	Homo sapiens	1001000183	F7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.D6	GBM cell 850	Brain	Homo sapiens	1001000183	D6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.B5	GBM cell 851	Brain	Homo sapiens	1001000183	B5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.A2	GBM cell 852	Brain	Homo sapiens	1001000183	A2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.E2	GBM cell 853	Brain	Homo sapiens	1001000183	E2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.G5	GBM cell 854	Brain	Homo sapiens	1001000183	G5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.A11	GBM cell 855	Brain	Homo sapiens	1001000183	A11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.D12	GBM cell 856	Brain	Homo sapiens	1001000183	D12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000183.C3	GBM cell 857	Brain	Homo sapiens	1001000183	C3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.A1	GBM cell 858	Brain	Homo sapiens	1001000184	A1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.B8	GBM cell 859	Brain	Homo sapiens	1001000184	B8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.A11	GBM cell 860	Brain	Homo sapiens	1001000184	A11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.B2	GBM cell 861	Brain	Homo sapiens	1001000184	B2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.B9	GBM cell 862	Brain	Homo sapiens	1001000184	B9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.B3	GBM cell 863	Brain	Homo sapiens	1001000184	B3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.C1	GBM cell 864	Brain	Homo sapiens	1001000184	C1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.A6	GBM cell 865	Brain	Homo sapiens	1001000184	A6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.B6	GBM cell 866	Brain	Homo sapiens	1001000184	B6	Tumor	BT_S2	9	OPC	Regular
1001000184.A4	GBM cell 867	Brain	Homo sapiens	1001000184	A4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.A8	GBM cell 868	Brain	Homo sapiens	1001000184	A8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.B10	GBM cell 869	Brain	Homo sapiens	1001000184	B10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.A10	GBM cell 870	Brain	Homo sapiens	1001000184	A10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.B7	GBM cell 871	Brain	Homo sapiens	1001000184	B7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.A9	GBM cell 872	Brain	Homo sapiens	1001000184	A9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.B11	GBM cell 873	Brain	Homo sapiens	1001000184	B11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.A5	GBM cell 874	Brain	Homo sapiens	1001000184	A5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.B4	GBM cell 875	Brain	Homo sapiens	1001000184	B4	Tumor	BT_S2	9	OPC	Regular
1001000184.A7	GBM cell 876	Brain	Homo sapiens	1001000184	A7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.B5	GBM cell 877	Brain	Homo sapiens	1001000184	B5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.A2	GBM cell 878	Brain	Homo sapiens	1001000184	A2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.A3	GBM cell 879	Brain	Homo sapiens	1001000184	A3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.D9	GBM cell 880	Brain	Homo sapiens	1001000184	D9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.G11	GBM cell 881	Brain	Homo sapiens	1001000184	G11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.F6	GBM cell 882	Brain	Homo sapiens	1001000184	F6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.C11	GBM cell 883	Brain	Homo sapiens	1001000184	C11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.D7	GBM cell 884	Brain	Homo sapiens	1001000184	D7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.G5	GBM cell 885	Brain	Homo sapiens	1001000184	G5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.C5	GBM cell 886	Brain	Homo sapiens	1001000184	C5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.H4	GBM cell 887	Brain	Homo sapiens	1001000184	H4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000184.E2	GBM cell 888	Brain	Homo sapiens	1001000184	E2	Tumor	BT_S2	11	Neoplastic	Neoplastic
