"Dim1" "Dim2"
"1001000175.A10" -20.6594072478669 4.75665212932687
"1001000175.E4" 16.0321756576555 -70.6629499092427
"1001000175.B3" 9.68311306098419 17.2137964006151
"1001000175.G1" -11.7808352115368 -49.020720004904
"1001000175.A2" 9.96283415788215 30.198706790853
"1001000175.H1" -68.8518046186188 -6.67077418277229
"1001000175.E11" -1.05954857795546 25.5808360504817
"1001000175.B10" 5.78209747538032 -68.5856371932328
"1001000175.C10" -6.4816189435123 -52.9309898806571
"1001000175.B5" 12.6944312838239 -66.3386231151499
"1001000175.D1" 11.442644899357 -63.8207490525126
"1001000175.C2" 8.75474085896289 -74.4720282616559
"1001000175.F4" 12.3710876691776 -73.6366238697429
"1001000175.E2" -12.3827628134333 -46.6237490806366
"1001000175.H3" -4.80122855857361 -53.9914755616081
"1001000175.A4" 10.1573287138696 -69.0773663156866
"1001000175.C12" 11.4110903438581 -62.6343086738797
"1001000175.G10" 10.5783046347504 -72.5036508940485
"1001000175.F2" -5.69384761013671 -58.9061803839075
"1001000175.D11" -11.4312692186191 -45.8577403390677
"1001000175.F5" 1.17631771107411 -47.9489509439331
"1001000175.C8" -7.29496580097266 -54.0756183011259
"1001000175.F12" 22.3127849730021 -35.5906801760549
"1001000175.B7" 9.51023230570483 26.1608979014895
"1001000175.D3" -6.68461785617413 -48.8045895128664
"1001000175.C9" -8.6967422202655 -56.9637567272629
"1001000175.D6" 7.55527197460049 -67.8396285296938
"1001000175.E6" 1.77639080416816 -54.9261976780903
"1001000175.A6" 9.74033470109948 -64.4612560780911
"1001000175.H8" -6.61110396067289 -47.6019498271283
"1001000175.B2" 6.60418434563371 -65.7253983714463
"1001000175.B11" 16.8416434080433 -72.1649856090597
"1001000175.E10" -8.30034735112906 -62.7450942200986
"1001000175.D8" 13.0418884386122 -72.689148148206
"1001000175.F10" 1.87172458209524 -51.0781302648342
"1001000175.E9" -4.37145938181513 -48.8028690175398
"1001000175.F7" 14.5971345000213 -66.2445782636038
"1001000175.G3" -4.03808218332792 -61.59785762321
"1001000175.C6" 17.8390073098308 -72.9313334089235
"1001000175.E12" 1.88558762839841 -51.2697085752332
"1001000175.A12" -3.90990719129467 -47.6883144595709
"1001000175.A1" 9.52608498665337 29.2583719354134
"1001000175.A8" 11.780895610264 -61.0939423568989
"1001000176.A7" -28.0736735139306 20.09309257453
"1001000176.B9" 13.4163373796971 38.8607908402924
"1001000176.D9" 13.0618890320187 39.0687876279594
"1001000176.G5" 7.18355027063504 38.370795936176
"1001000176.H3" -3.02517327578593 12.1857015413412
"1001000176.A9" 7.39445221869755 35.6494835743029
"1001000176.G2" -5.68506631522193 17.9853017742074
"1001000176.F10" -19.0577640747457 0.703830730607506
"1001000176.F1" -21.243686380388 1.42912369959176
"1001000176.D7" 12.6335842490606 25.6724869624735
"1001000176.C9" 6.42656321510101 36.6781570291398
"1001000176.B7" 29.1151436377378 40.7521739366671
"1001000176.A5" 16.4738358635636 40.0889531528355
"1001000176.D4" -11.4403937544595 4.61467380302592
"1001000176.F2" -3.22883872670998 16.236298137867
"1001000176.A10" -20.0614082402822 22.8016388712822
"1001000176.C2" 13.1266593662624 26.1385371500152
"1001000176.G11" -20.9776165686601 5.86857270392603
"1001000176.E8" -24.4068005088172 19.4956698371394
"1001000176.F12" -22.7311467055286 -2.80445915670367
"1001000176.E11" -14.9410050816982 5.96309233830905
"1001000176.E3" -20.3789045631651 1.33741241584575
"1001000176.B5" -20.2810375928795 23.0461865877215
"1001000176.D5" 5.3307032643427 43.4427883103038
"1001000176.B10" -25.5439604102052 21.0447548166792
"1001000176.D11" -23.3854746291496 22.1479478106889
"1001000176.B12" -24.5981572362677 23.8180795413681
"1001000176.E7" 11.1081508830992 34.8976006639617
"1001000176.H7" -18.8917121978497 -0.870079225179707
"1001000176.E1" -13.7322448794593 3.0822014872313
"1001000176.G8" -22.1036340594327 24.5332556195952
"1001000176.D3" 10.0635993379911 28.7701846150077
"1001000176.A12" -23.3270172404591 17.349759680473
"1001000176.G10" -19.2935037519235 0.131097292845352
"1001000176.C12" -22.0566479700489 -1.47212088100551
"1001000176.B3" 20.2149712278544 37.6710714235401
"1001000176.A8" -20.3244199985757 22.853782457809
"1001000176.G7" -6.72700282456132 24.9561830383888
"1001000176.D10" -7.43358588345829 -10.2049310391015
"1001000176.F5" -26.2536432443444 21.7462516659284
"1001000176.A3" -11.7684464540902 2.95716234521002
"1001000176.H11" 10.0087369417638 27.3818940115823
"1001000176.H9" 27.0368212456104 30.5161722241225
"1001000176.C5" -10.5005417200401 18.2156018562284
"1001000176.E5" 12.0535259184894 42.2233278607342
"1001000176.H2" 15.3691975836235 38.1955004578903
"1001000176.A1" 22.3018925765072 30.5977845526432
"1001000176.C1" -24.6746729079824 21.0067596402673
"1001000176.F7" 4.63253099090335 38.6023121396471
"1001000176.G3" -27.1923761813195 21.4960771420089
"1001000176.B8" 15.8798646126605 8.15072132870224
"1001000176.C7" -21.2862766741035 1.34273444545796
"1001000176.C11" 5.38143112349396 22.3339547818903
"1001000176.D1" 11.6799943267504 27.6102707154227
"1001000176.G4" 12.2855624231453 25.7117126209431
"1001000176.G12" -7.81738294982613 -8.75526647322366
"1001000176.A11" 12.0316587701547 32.7835755379482
"1001000176.C3" 21.0888587439169 38.0381190792944
"1001000176.E10" -22.4075798142183 -2.33502150083143
"1001000176.G1" -2.72457471522661 11.755755864801
"1001000176.E2" -11.4693780440635 3.27270579585382
"1001000176.F9" -25.7002475070535 20.5597875598749
"1001000176.B1" 5.04420477053526 32.1742919619313
"1001000176.H4" -14.9375290421059 9.59256181580952
"1001000176.A4" -4.92040928047584 32.310207180604
"1001000176.C8" -2.03541692426226 19.7359880120537
"1001000176.C4" -19.7086968865912 -6.41822521771027
"1001000176.B11" -24.7558147999529 21.8097830069735
"1001000176.H1" 15.8110053712482 35.0637964978744
"1001000176.E9" 4.48498245606343 13.072941335624
"1001000176.D2" 15.2951216462309 42.6709716023802
"1001000176.G9" -10.9523741484356 22.5273091113331
"1001000176.B4" 6.40056245467007 33.6310565739346
"1001000176.F11" 12.9981025851637 30.991341068399
"1001000176.F4" 15.5127874007606 23.8986808068628
"1001000176.H10" -4.95706516818193 11.6812205129671
"1001000176.D12" -18.6083688363306 22.252262049498
"1001000176.H8" 9.97877540465068 44.2610467156102
"1001000176.C10" -26.2857213220968 20.9250368450627
"1001000176.E4" 16.5556593715369 38.7619154607675
"1001000176.B2" 6.93054243920013 28.5256471204585
"1001000176.D8" 29.318858776123 44.5178968941069
"1001000176.A2" 14.2543543780671 22.3225927139637
"1001000177.G9" -11.6415902205292 23.1991937515911
"1001000177.B6" -28.927187645893 9.35687267039496
"1001000177.A8" -6.75391149903985 -12.2025564353191
"1001000177.D6" 3.66893220624137 21.1363412273803
"1001000177.E11" 16.1479036544647 38.5012887610845
"1001000177.G6" 9.79555165943199 37.1533394116823
"1001000177.B10" -26.351227612713 21.0473963156833
"1001000177.G12" -5.8873450586992 15.7609997231377
"1001000177.B1" -0.498529035401961 7.79878440095434
"1001000177.A6" -20.9907162169702 1.65289551060912
"1001000177.A10" -20.7066571056834 10.2680543083137
"1001000177.E9" 8.31783525990494 43.7660871713048
"1001000177.A2" 5.32369771189315 39.169808843559
"1001000177.C1" -24.6913810333893 20.0052828247041
"1001000177.B7" 19.7633330234699 37.2820002793708
"1001000177.D7" -11.3274005134087 11.5285185640217
"1001000177.F2" 12.1930504777849 34.7141504622048
"1001000177.G8" 5.54825150429751 33.4130039038991
"1001000177.B12" -9.95280332753398 8.27338851471367
"1001000177.A12" -14.7530869759848 9.9501020849137
"1001000177.E7" 16.3615443589601 37.1253761115678
"1001000177.H1" -4.23800545717619 18.7647159470669
"1001000177.F3" 6.32101690507794 36.6895809337701
"1001000177.C3" -4.00398702241085 19.5477922846384
"1001000177.H5" 42.2677461267183 24.1247838169427
"1001000177.D10" 9.85240603694231 38.8444652669677
"1001000177.C6" 4.24718164609499 35.3305066271779
"1001000177.F5" -24.8298517007409 14.8276063397048
"1001000177.B4" 7.66936137893735 12.6270801683933
"1001000177.C12" -8.75256536963859 -3.45785995208617
"1001000177.E1" -19.1512274834174 3.57692495133202
"1001000177.A9" -26.3490770380991 3.56018299354425
"1001000177.F11" -14.0498114801433 0.835887242429106
"1001000177.H3" 16.4369084967646 37.6566854128404
"1001000177.G2" 3.03355532219159 33.7904464990457
"1001000177.A3" -25.4697515359197 22.6237224229463
"1001000177.H7" 5.18096391988266 37.635678481407
"1001000177.D1" -26.3487306859664 21.989811788916
"1001000177.D4" 11.9035721054796 30.5825698773771
"1001000177.C8" -22.8479518959348 22.3040171744554
"1001000177.H11" 14.7373944386203 38.140318819722
"1001000177.E3" -7.26197009722649 39.5027793471745
"1001000177.F7" -2.48504254211724 -4.24265074579657
"1001000177.G4" -25.9512371698855 20.282013626142
"1001000177.H2" -27.6320187104309 22.1487762402218
"1001000177.B11" -21.7451724584704 22.3605095761696
"1001000177.H10" 12.6668925696002 23.8226480391606
"1001000177.G11" 14.5850672827759 21.8546910440076
"1001000177.G5" 4.89142440297578 37.2046655765278
"1001000177.E12" 10.1925767806798 29.4489393127124
"1001000177.A7" 7.35657490879001 35.7782085078931
"1001000177.E6" 18.3951282778586 38.1906874992433
"1001000177.F12" -11.7969275720868 2.68188896521228
"1001000177.B8" -15.0569776765601 4.19762228492829
"1001000177.C2" -20.8536045051434 -3.54900799008456
"1001000177.D3" -4.89638825277121 10.2917822111697
"1001000177.B2" 5.0909739784977 38.5190676631697
"1001000177.F4" 9.55304464912389 36.371820807821
"1001000177.G7" -13.2532593840479 3.50121084134977
"1001000177.G10" 14.1313128282902 34.1588380909215
"1001000177.A11" -12.9733639246025 3.00772324763911
"1001000177.E8" 14.8623679629812 38.2012174949718
"1001000177.H4" 7.80271187520691 14.8802305903201
"1001000177.D12" -12.6690249441264 4.47519008687638
"1001000177.D8" -3.66088135061064 -1.74561029052684
"1001000177.D5" -25.5324468289142 20.6847756701529
"1001000177.F1" -15.1105342883906 3.85659157708391
"1001000177.E10" 5.05440689847606 23.6029630793791
"1001000177.C4" 1.41376321849726 -47.7184918676089
"1001000177.F10" 8.61215160724071 39.3568252603657
"1001000177.F6" -14.0326139393731 -9.39787385710915
"1001000177.A4" 16.3927162296133 37.5351728364423
"1001000177.C9" 10.5810496085586 40.1408104894029
"1001000177.H6" 10.5392911702714 38.4380592950382
"1001000177.C11" 5.92157358798843 35.115231952873
"1001000177.E2" 7.80389963405591 38.2399789072789
"1001000177.B9" -27.5267113769684 22.070740643741
"1001000177.C5" -15.4870723887556 9.15356266293908
"1001000177.E4" 8.27858690210366 43.7828839334286
"1001000177.G3" 11.7354646399985 35.9514324558962
"1001000177.A5" -4.14703544942076 -6.73283073852429
"1001000177.G1" 4.6786816241045 35.7676213380012
"1001000177.D2" 14.5196207796979 27.5260942000592
"1001000177.D9" 8.40530626724473 39.6302701285877
"1001000177.H8" 12.6481252235905 23.9183723520126
"1001000177.F8" -28.0766659150505 20.0751563420523
"1001000177.C7" -2.67134281287086 11.8090549356781
"1001000177.D11" -3.10613484178619 8.54806555462834
"1001000177.B3" 10.220015641148 13.2700511349585
"1001000178.G8" 25.0203137848642 27.2948661026137
"1001000178.A9" 28.078257616873 30.693678964577
"1001000178.B7" 26.7414044923328 40.7059601997783
"1001000178.E5" 38.5566168281157 36.1411815081125
"1001000178.D12" 40.4804237104111 39.2854197586428
"1001000178.F4" 21.3828735633441 37.5456418170907
"1001000178.F10" 37.2888365474721 29.6455973812502
"1001000178.B5" 40.8439130035577 34.3063295756015
"1001000178.D10" 31.0612949787025 23.6449603769574
"1001000178.A12" 39.539741196567 37.8115617295663
"1001000178.F11" 29.3190739512446 21.2744685851818
"1001000178.E3" 42.6743359379558 34.1687334712507
"1001000178.C4" 36.4468741775703 39.9509086222313
"1001000178.F2" 37.6233190721464 36.2154173974447
"1001000178.F9" 32.7104323941867 43.033195295054
"1001000178.C9" 33.4181706201968 30.8715643412797
"1001000178.D8" 29.242055253272 35.0460449803594
"1001000178.C2" 42.0977045688051 37.2850394923679
"1001000178.G1" 39.236124525109 33.9063192136322
"1001000178.B3" 2.34028020957277 -2.26104179003763
"1001000178.A6" 30.0149520562217 16.7581734370741
"1001000178.C10" 32.6494424566512 22.0205308699652
"1001000178.C5" 33.2217276545026 29.7179804930258
"1001000178.B1" 30.2313648199861 32.6793980960752
"1001000178.F8" 30.8015694422994 27.4786636030921
"1001000178.A11" 26.6018074700023 31.9245460761157
"1001000178.C3" 38.7264022988201 47.3878646127179
"1001000178.E1" 39.9355791715526 36.2856486599771
"1001000178.D3" 29.3648784021699 34.1050369537845
"1001000178.C12" 27.4475921683473 35.3558886600976
"1001000178.C7" 37.4695763709692 24.6264832055771
"1001000178.G3" 35.0461021287875 22.6067304182516
"1001000178.E12" 37.953052508986 42.5646884421416
"1001000178.A8" 42.7100737828414 42.6731652174379
"1001000178.D1" 41.5739646862415 36.471284268364
"1001000178.F6" 30.4160967763346 31.1156708548916
"1001000178.G5" 32.8630025536374 32.0588149911665
"1001000178.E11" 37.1863149200483 38.3310125672745
"1001000178.F3" 34.7067100082383 33.4444588816582
"1001000178.E8" 26.9768928246652 30.4886190738504
"1001000178.D11" 40.3473002763342 35.3157477739176
"1001000178.D7" 25.6172222867961 13.2588241206443
"1001000178.G7" 30.8767650100978 36.5375893868525
"1001000178.B8" 41.1588659151811 37.480734192458
"1001000178.D5" 27.8788526507951 38.1371152380129
"1001000178.F1" 38.5022245627505 43.8897636247314
"1001000178.E6" 36.5198547039944 39.9805535631487
"1001000178.C1" 29.7008393978496 41.606176809778
"1001000178.B6" 30.1154982752468 27.8637297523517
"1001000178.F12" 37.2858080967541 47.0953446603904
"1001000178.E4" 29.4909993384715 34.2876522973874
"1001000178.B10" 33.3022453195234 21.5163037698047
"1001000178.F7" 27.726769441527 11.7512847350249
"1001000178.A10" 38.7443195934328 40.3131816031041
"1001000178.B4" 35.4061274536022 33.5506813716391
"1001000178.G4" 37.1523881992632 33.3827243065322
"1001000178.D4" 32.1295073042781 32.0100211180474
"1001000178.A5" 32.2223123346374 29.5316589824467
"1001000178.D6" 35.3102512160806 47.1120211574592
"1001000178.C6" 42.9394360175248 42.5486341899786
"1001000178.C11" 34.2228091783782 32.1360890101528
"1001000178.B2" 23.7477952001731 34.5958325367936
"1001000178.B9" 35.4398195688701 37.868897361483
"1001000178.E9" 19.5403081167523 30.9683369284272
"1001000178.E2" 18.572044295002 27.3904872979624
"1001000178.D2" 29.4243347872199 22.1476035091947
"1001000178.G6" 35.4862868501921 39.088357674194
"1001000178.D9" 43.3395146083081 40.8407109155108
"1001000178.G2" 38.8594799182311 44.9924071114764
"1001000178.F5" 33.0986477419442 33.3716487645267
"1001000178.E10" 31.2547157351338 30.389264853513
"1001000178.C8" 35.1729455585527 29.6032403774967
"1001000178.A7" 27.5824935660968 34.3417635908695
"1001000178.B11" 32.2549910485974 24.5608601423811
"1001000178.E7" 35.1959398316074 32.5695739684885
"1001000178.H5" 29.4565971087674 37.314711895948
"1001000178.H3" 26.1180257533325 45.2635654715014
"1001000178.G12" 27.9281463397963 31.3971988322218
"1001000178.H9" 39.8024559274458 37.7137380784052
"1001000178.H10" 46.0027741487335 38.5288721792823
"1001000178.H7" 31.9137025929549 29.8234290952846
"1001000178.G11" 27.1776833547168 24.6834199360086
"1001000178.H4" 38.6076942117842 34.2895114999314
"1001000178.H2" 35.9295496882212 36.7525209529066
"1001000178.G9" 35.2182667038465 39.8033857076694
"1001000178.H1" 28.0863556607368 42.980364172361
"1001000178.H8" 33.6306007514355 46.5450068838688
"1001000178.H11" 33.7974371560282 30.3357135060178
"1001000178.H6" 30.1053928735747 29.6766714862073
"1001000178.G10" 35.9122182028171 44.0396672568104
"1001000179.F10" 33.555118701832 28.5915569520452
"1001000179.B12" -1.20987753881551 -56.7097663974151
"1001000179.H7" 29.1879085801266 13.9944457808796
"1001000179.C1" 36.7800537005671 35.4936419604939
"1001000179.G9" 36.9702682293831 35.9368251341476
"1001000179.A10" 30.9942540090124 31.5838179611601
"1001000179.B4" 34.3363436063854 31.3653457829811
"1001000179.C7" 26.0611287470208 39.7518944196552
"1001000179.D9" -0.474227175392833 9.35610486583086
"1001000179.E6" 27.5874982626634 31.8686277816118
"1001000179.A4" 36.299559769289 28.5927200811906
"1001000179.G3" 27.0288434897974 45.2964023419794
"1001000179.D11" 37.849100707646 22.427461640139
"1001000179.H5" 40.4866611072973 35.0523314379616
"1001000179.D6" 36.3768070697878 38.4751691131255
"1001000179.B8" 35.913530882518 31.8658196283571
"1001000179.C4" 35.4971830236499 41.8521831320791
"1001000179.F1" 39.2283381455283 26.5614244954843
"1001000179.B10" 33.0587363156162 31.4003605896784
"1001000179.A2" 33.0475174206777 39.3000025587357
"1001000179.F5" 25.7089903969024 11.3501818940396
"1001000179.C10" 30.2894714856978 29.7924751160695
"1001000179.D4" 35.8702226321298 29.5903706716033
"1001000179.H3" 35.0551115138429 20.5012576631065
"1001000179.F4" 32.2057507458426 23.4692043247825
"1001000179.D3" 31.4375056242519 33.1112790959897
"1001000179.B7" 27.7189237900009 35.1161948705379
"1001000179.E9" 36.5081594477519 31.2713197264872
"1001000179.E12" 20.8476435213718 25.226366150148
"1001000179.A1" 35.8839615689567 33.3053690079134
"1001000179.G5" 27.5763460080391 41.5892552020972
"1001000179.H11" 38.7493575879064 35.382822355509
"1001000179.E3" 29.572572677078 16.2318503939494
"1001000179.B3" 33.3434382165921 32.8217498414682
"1001000179.C3" 29.0890136228455 36.7147196717012
"1001000179.A9" 29.6547564911303 36.9839734741544
